a0410b,a0410c,a0410d,a0410e,a0410f,a0502a,a0502c,a0502d,a0410a,a0404,a0405aa,a0405b,a0406,A0408A,A0408B,A0408C,A0408D,A0408E,a0409,a0409a,a0405m,a0405a,edad,sexo
2,2,2,2,2,2,2,2,2,1,2,0,12,1,2,3,0,0,3,2,0,8,72,2
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,3,1,4,0,73,1
2,2,2,2,2,2,2,2,2,1,1,1,2,5,0,0,0,0,3,1,0,5,59,2
2,2,2,2,2,2,2,2,2,1,1,1,2,5,0,0,0,0,2,1,0,10,62,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,4,2,0,0,66,1
2,1,2,2,2,1,2,2,2,1,1,2,0,2,0,0,0,0,5,0,1,10,63,1
2,2,2,2,2,2,2,2,2,1,2,0,12,3,4,0,0,0,3,12,0,15,74,1
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,12,0,11,71,2
2,2,2,2,2,2,2,2,2,1,1,4,0,5,0,0,0,0,4,48,0,6,63,1
2,2,2,2,2,2,2,2,2,1,2,0,1,5,0,0,0,0,3,1,0,8,57,2
2,2,2,2,2,2,2,2,2,1,2,0,3,5,0,0,0,0,3,3,4,0,42,2
2,2,2,2,2,2,2,2,2,1,1,1,4,5,0,0,0,0,4,4,0,19,59,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,1,0,0,62,2
2,2,2,2,2,2,2,2,2,1,2,0,2,1,0,0,0,0,3,1,0,10,63,1
2,2,2,1,2,2,2,2,2,1,1,1,1,5,0,0,0,0,5,0,6,0,37,1
2,2,2,2,2,2,2,2,1,1,2,0,12,5,0,0,0,0,2,1,0,24,69,1
2,2,2,2,2,2,2,2,2,2,0,0,2,5,0,0,0,0,5,0,0,0,42,1
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,4,12,0,5,49,2
2,2,2,2,1,2,2,2,1,1,1,2,6,5,0,0,0,0,2,2,0,1,63,2
